Modelo,MSE (Test),MAE (Test),R² (Test)
Linear Regression,3.6059193252707917,1.491000829171785,0.8774865839075188
Random Forest,3.715413028573087,1.5174452230160063,0.8737664652852938
Gradient Boosting,4.2305109198854,1.5956234322813887,0.8562656848755807
SVR,7.503424156282749,2.2276704257905946,0.745066363705181
